eeschema (2013-jul-07)-stable  >> Creation date: Tue 22 Mar 2016 07:48:47 PM ADT
#Cmp ( order = Reference )
| C1         0.1u        ; LLL185R71A104MA01L ;             ;             ;             ;             ;             ;             ;             
| R23        4K7         ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| R24        4K7         ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| R25        4K7         ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| SW1        GP12MCBE    ; GP12MCBE    ;             ;             ;             ;             ;             ;             ;             
| SW2        THUMBWHEEL  ; Tsw A-3n-Cd23 Lfs;             ;             ;             ;             ;             ;             ;             
| SW3        TL9210      ; TL9210AF260Q;             ;             ;             ;             ;             ;             ;             
| SW4        TL9210      ; TL9210AF260Q;             ;             ;             ;             ;             ;             ;             
| SW5        TL9210      ; TL9210AF260Q;             ;             ;             ;             ;             ;             ;             
| SW6        TL9210      ; TL9210AF260Q;             ;             ;             ;             ;             ;             ;             
| U1         2SC5662     ; 2SC5662T2LP ;             ;             ;             ;             ;             ;             ;             
| U2         SAMC21E-A   ; SAMC21E15A-AU;             ;             ;             ;             ;             ;             ;             
| U3         TPS7133QD   ; TPS7133QD   ;             ;             ;             ;             ;             ;             ;             
| U4         2SC5662     ; 2SC5662T2LP ;             ;             ;             ;             ;             ;             ;             
| U5         2SC5662     ; 2SC5662T2LP ;             ;             ;             ;             ;             ;             ;             
| U6         2SC5662     ; 2SC5662T2LP ;             ;             ;             ;             ;             ;             ;             
| U7         ATA663211   ; ATA663211-GAQW;             ;             ;             ;             ;             ;             ;             
#End Cmp

#Cmp ( order = Value )
| 220p         C7        ; CGA3E3C0G2E221J080AA;             ;             ;             ;             ;             ;             ;             
| 0.1u         C1        ; LLL185R71A104MA01L ;             ;             ;             ;             ;             ;             ;             
| 0.1u         C2        ; LLL185R71A104MA01L ;             ;             ;             ;             ;             ;             ;             
| 0.1u         C3        ; LLL185R71A104MA01L ;             ;             ;             ;             ;             ;             ;             
| 0.1u         C8        ; LLL185R71A104MA01L ;             ;             ;             ;             ;             ;             ;             
| 10u          C9        ; T58MM106M6R3C0300;             ;             ;             ;             ;             ;             ;             
| BARREL_JACK  CON1      ; PJ-002A     ;             ;             ;             ;             ;             ;             ;             
| 7_SEGMENT_DISPLAY D1        ; LF-301VK    ;             ;             ;             ;             ;             ;             ;             
| XZMYR155W    D2        ; XZMYR155W   ;             ;             ;             ;             ;             ;             ;             
| 7_SEGMENT_DISPLAY D3        ; LF-301VK    ;             ;             ;             ;             ;             ;             ;             
| 7_SEGMENT_DISPLAY D4        ; LF-301VK    ;             ;             ;             ;             ;             ;             ;             
| 7_SEGMENT_DISPLAY D5        ; LF-301VK    ;             ;             ;             ;             ;             ;             ;             
| BAV99        D6        ; BAV99       ;             ;             ;             ;             ;             ;             ;             
| SWD_HEADER   J1        ; M50-3500542 ;             ;             ;             ;             ;             ;             ;             
| 1881451_LIN  J2        ; 1881451     ;             ;             ;             ;             ;             ;             ;             
| 22R          R8        ; CRCW060322R0JNEA;             ;             ;             ;             ;             ;             ;             
| 200          R1        ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 200          R2        ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 200          R3        ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 200          R4        ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 200          R5        ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 200          R6        ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 200          R7        ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 200          R11       ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 200          R17       ; TNPW0603200RBEEA;             ;             ;             ;             ;             ;             ;             
| 1K           R15       ; RK73H2BTTD1001F;             ;             ;             ;             ;             ;             ;             
| 2.7K         R19       ; ERA-3ARB272V;             ;             ;             ;             ;             ;             ;             
| 4K7          R12       ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| 4K7          R13       ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| 4K7          R14       ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| 4K7          R20       ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| 4K7          R22       ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| 4K7          R23       ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| 4K7          R24       ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| 4K7          R25       ; ERA-3APB472V;             ;             ;             ;             ;             ;             ;             
| 10K          R9        ; CRCW120610K0FKEA;             ;             ;             ;             ;             ;             ;             
| 10K          R10       ; CRCW120610K0FKEA;             ;             ;             ;             ;             ;             ;             
| 10K          R16       ; CRCW120610K0FKEA;             ;             ;             ;             ;             ;             ;             
| 100K         R21       ; 667-ERJ-PA2F1003X;             ;             ;             ;             ;             ;             ;             
| GP12MCBE     SW1       ; GP12MCBE    ;             ;             ;             ;             ;             ;             ;             
| TL9210       SW3       ; TL9210AF260Q;             ;             ;             ;             ;             ;             ;             
| TL9210       SW4       ; TL9210AF260Q;             ;             ;             ;             ;             ;             ;             
| TL9210       SW5       ; TL9210AF260Q;             ;             ;             ;             ;             ;             ;             
| TL9210       SW6       ; TL9210AF260Q;             ;             ;             ;             ;             ;             ;             
| THUMBWHEEL   SW2       ; Tsw A-3n-Cd23 Lfs;             ;             ;             ;             ;             ;             ;             
| 2SC5662      U1        ; 2SC5662T2LP ;             ;             ;             ;             ;             ;             ;             
| 2SC5662      U4        ; 2SC5662T2LP ;             ;             ;             ;             ;             ;             ;             
| 2SC5662      U5        ; 2SC5662T2LP ;             ;             ;             ;             ;             ;             ;             
| 2SC5662      U6        ; 2SC5662T2LP ;             ;             ;             ;             ;             ;             ;             
| ATA663211    U7        ; ATA663211-GAQW;             ;             ;             ;             ;             ;             ;             
| TPS7133QD    U3        ; TPS7133QD   ;             ;             ;             ;             ;             ;             ;             
| SAMC21E-A    U2        ; SAMC21E15A-AU;             ;             ;             ;             ;             ;             ;             
#End Cmp

#End List
